x,y,periodo,fuente
-83.97606359999999,9.9069966,2024_2,Vivienda
-83.9070994,9.8600917,2024_2,Vivienda
-84.1678551,9.9796821,2024_2,Vivienda
-83.91619349999999,9.8638091,2024_2,Vivienda
-84.2199753,9.9887553,2024_2,Vivienda
-84.0932517,9.8626824,2024_2,Vivienda
-84.06663379999999,9.9282808,2024_2,Vivienda
-84.4408972,10.025926,2024_2,Vivienda
-84.0851131,9.981178,2024_2,Vivienda
-84.0478311,9.9620675,2024_2,Vivienda
-84.1820735,9.9312697,2024_2,Vivienda
-84.0532762,10.0209883,2024_2,Vivienda
-84.04994649999999,9.964033100000002,2024_2,Vivienda
-84.17030679999999,10.0298816,2024_2,Vivienda
-84.1791409,9.9123392,2024_2,Vivienda
-84.1306015,10.0081302,2024_2,Vivienda
-84.1197643,9.9981413,2024_2,Vivienda
-84.15940680000001,9.9984253,2024_2,Vivienda
-84.21417009999999,10.0159394,2024_2,Vivienda
-84.2915293,10.0288796,2024_2,Vivienda
-84.5182866,10.0286014,2024_2,Vivienda
-84.4378495,10.060727,2024_2,Vivienda
-84.3542049,10.6590277,2024_2,Vivienda
-83.9413462,9.8878815,2024_2,Vivienda
-84.510753,10.1358342,2024_2,Vivienda
-84.1829269,10.3124151,2024_2,Vivienda
-84.514354,10.3621191,2024_2,Vivienda
-84.4408972,10.025926,2024_2,Vivienda
-84.4673409,10.0632425,2024_2,Vivienda
-84.0208353,9.6606886,2024_2,Vivienda
-83.73120329999999,9.9014091,2024_2,Vivienda
-85.1220031,9.961335,2024_2,Vivienda
-85.4356231,10.6435957,2024_2,Vivienda
-85.3698007,10.1909392,2024_2,Vivienda
-84.1052462,9.9881435,2024_2,Vivienda
-84.0689357,9.9728912,2024_2,Vivienda
-84.1161351,9.9413799,2024_2,Vivienda
-83.04150779999999,9.9913106,2024_2,Vivienda
-84.0567537,9.8946125,2024_2,Vivienda
-82.84521459999999,9.7347856,2024_2,Vivienda
-84.64268059999999,10.4678335,2024_2,Vivienda
-84.4238316,9.9936107,2024_2,Vivienda
-83.94752830000002,9.856480500000002,2024_2,Vivienda
-85.1375645,10.9534043,2024_2,Vivienda
-83.1133792,8.6040618,2024_2,Vivienda
-83.7890769,10.2136729,2024_2,Vivienda
-84.4247953,10.0581151,2024_2,Vivienda
-84.0679451,9.9106354,2024_2,Vivienda
-83.0307361,9.9916889,2024_2,Vivienda
-85.4491619,10.1514977,2024_2,Vivienda
-84.4673409,10.0632425,2024_2,Vivienda
-84.21417009999999,10.0159394,2024_2,Vivienda
-84.1156552,9.9961139,2024_2,Vivienda
-84.0386633,9.9145505,2024_2,Vivienda
-84.0912637,9.9259312,2024_2,Vivienda
-84.04207749999999,9.9424549,2024_2,Vivienda
-84.0261245,9.9012344,2024_2,Vivienda
-85.227386,10.02458,2024_2,Vivienda
-84.0557369,9.9330574,2024_2,Vivienda
-83.6734049,9.3291979,2024_2,Vivienda
-84.055129,10.0182399,2024_2,Vivienda
-84.4356468,10.0704225,2024_2,Vivienda
-84.1522641,9.9371833,2024_2,Vivienda
-84.4703574,10.0596253,2024_2,Vivienda
-84.21417009999999,10.0159394,2024_2,Vivienda
-84.8218917,10.6727137,2024_2,Vivienda
-82.96023749999999,9.7364801,2024_2,Vivienda
-84.4673409,10.0632425,2024_2,Vivienda
-84.0303196,9.6396276,2024_2,Vivienda
-84.1052462,10.0159804,2024_2,Vivienda
-84.430677,10.3271511,2024_2,Vivienda
-84.11118580000002,9.9263424,2024_2,Vivienda
-84.1522641,9.9371833,2024_2,Vivienda
-83.97606359999999,9.9069966,2024_2,Vivienda
-83.91619349999999,9.8638091,2024_2,Vivienda
-84.0519282,9.9692852,2024_2,Vivienda
-84.0208353,9.6606886,2024_2,Vivienda
-84.212779,9.9287582,2024_2,Vivienda
-84.1336192,9.9420336,2024_2,Vivienda
-84.0719554,9.8904806,2024_2,Vivienda
-84.17030679999999,10.0298816,2024_2,Vivienda
-84.21417009999999,10.0159394,2024_2,Vivienda
-83.9453168,9.8448839,2024_2,Vivienda
-84.0629919,9.8761455,2024_2,Vivienda
-83.9151083,10.3204334,2024_2,Vivienda
-84.3039989,10.387416,2024_2,Vivienda
-84.3542049,10.6590277,2024_2,Vivienda
-84.2844961,10.0887545,2024_2,Vivienda
-83.6800512,9.9067054,2024_2,Vivienda
-83.9188416,9.8610783,2024_2,Vivienda
-83.9521475,9.827251,2024_2,Vivienda
-84.4382721,10.391583,2024_2,Vivienda
-84.0682753,10.0292456,2024_2,Vivienda
-84.1966353,9.9595954,2024_2,Vivienda
-82.844461,8.4888058,2024_2,Vivienda
-84.0695961,9.4838791,2024_2,Vivienda
-83.919441,9.8645539,2024_2,Vivienda
-83.03867509999999,10.0007252,2024_2,Vivienda
-84.12768179999999,9.9454071,2024_2,Vivienda
-83.02910589999999,9.9955555,2024_2,Vivienda
-83.6800512,9.9067054,2024_2,Vivienda
-83.6763958,9.339945,2024_2,Vivienda
-83.9188416,9.8610783,2024_2,Vivienda
-84.1045862,10.0083127,2024_2,Vivienda
-85.1220031,9.961335,2024_2,Vivienda
-84.4356468,10.0704225,2024_2,Vivienda
-84.4382721,10.391583,2024_2,Vivienda
-84.1280941,9.8949191,2024_2,Vivienda
-84.21602279999999,10.0151364,2024_2,Vivienda
-84.4651744,10.1078567,2024_2,Vivienda
-83.7179211,9.3651794,2024_2,Vivienda
-85.7124267,10.2471765,2024_2,Vivienda
-84.0913848,9.9329483,2024_2,Vivienda
-84.07400179999999,9.9233002,2024_2,Vivienda
-83.9880863,9.9060735,2024_2,Vivienda
-84.0878594,9.8908125,2024_2,Vivienda
-83.3308421,9.1672952,2024_2,Vivienda
-84.18768879999999,10.0236936,2024_2,Vivienda
-84.0963568,9.9968552,2024_2,Vivienda
-84.0679451,9.9106354,2024_2,Vivienda
-84.1336192,9.9420336,2024_2,Vivienda
-84.4107008,9.9989608,2024_2,Vivienda
-83.9196846,9.8393569,2024_2,Vivienda
-84.0737352,9.8768018,2024_2,Vivienda
-84.07085400000001,9.789419,2024_2,Vivienda
-84.288444,9.9509643,2024_2,Vivienda
-84.1377342,9.9763035,2024_2,Vivienda
-84.0219991,9.9517808,2024_2,Vivienda
-85.5514441,10.4440491,2024_2,Vivienda
-84.13894499999999,9.9021233,2024_2,Vivienda
-84.0204468,9.9096048,2024_2,Vivienda
-84.64537,10.46546,2024_2,Vivienda
-83.93113380000001,9.8357071,2024_2,Vivienda
-84.51632029999999,10.1142867,2024_2,Vivienda
-84.0576196,9.9108836,2024_2,Vivienda
-84.4382721,10.391583,2024_2,Vivienda
-84.430677,10.3271511,2024_2,Vivienda
-84.1336192,9.9420336,2024_2,Vivienda
-84.1162595,9.9210165,2024_2,Vivienda
-83.9532571,10.0480579,2024_2,Vivienda
-84.0768598,9.9452095,2024_2,Vivienda
-84.14491790000001,10.0193271,2024_2,Vivienda
-84.0484601,9.8383764,2024_2,Vivienda
-84.0907246,9.9280694,2024_2,Vivienda
-83.9214896,9.7250952,2024_2,Vivienda
-84.0775201,9.964000000000002,2024_2,Vivienda
-84.1172024,9.9339916,2024_2,Vivienda
-84.0877818,9.986548,2024_2,Vivienda
-83.8785308,9.8414655,2024_2,Vivienda
-83.62553129999999,9.90151,2024_2,Vivienda
-83.683374,9.9088519,2024_2,Vivienda
-84.2364413,10.1192808,2024_2,Vivienda
-84.429459,10.322951,2024_2,Vivienda
-84.21417009999999,10.0159394,2024_2,Vivienda
-84.21417009999999,10.0159394,2024_2,Vivienda
-84.6609898,9.9626691,2024_2,Vivienda
-84.4476419,10.0517886,2024_2,Vivienda
-83.9188416,9.8610783,2024_2,Vivienda
-83.8664076,9.839214,2024_2,Vivienda
-83.9234756,9.8715811,2024_2,Vivienda
-83.6800512,9.9067054,2024_2,Vivienda
-85.0902182,10.42109,2024_2,Vivienda
-84.1197643,9.9981413,2024_2,Vivienda
-84.0877818,9.986548,2024_2,Vivienda
-84.1421945,10.0027113,2024_2,Vivienda
-84.1187394,9.9903649,2024_2,Vivienda
-84.055129,10.0182399,2024_2,Vivienda
-85.6344554,11.0740275,2024_2,Vivienda
-85.09573320000001,10.435529,2024_2,Vivienda
-85.6858616,10.9432945,2024_2,Vivienda
-84.016128,9.8979691,2024_2,Vivienda
-84.1320801,9.9203489,2024_2,Vivienda
-84.06950909999999,9.9367532,2024_2,Vivienda
-84.0060704,9.938572,2024_2,Vivienda
-84.0705827,9.8896511,2024_2,Vivienda
-84.0386633,9.9145505,2024_2,Vivienda
-84.2186578,10.0513892,2024_2,Vivienda
-83.9050154,9.8698209,2024_2,Vivienda
-84.0088103,9.9739072,2024_2,Vivienda
-84.1909841,9.9576385,2024_2,Vivienda
-84.1791409,9.9123392,2024_2,Vivienda
-83.9740733,9.5953435,2024_2,Vivienda
-84.0386633,9.9145505,2024_2,Vivienda
-85.4311094,10.627382,2024_2,Vivienda
-84.0073228,9.9621746,2024_2,Vivienda
-84.1909841,9.9576385,2024_2,Vivienda
-84.01938609999999,10.4539873,2024_2,Vivienda
-83.64415319999999,9.2459382,2024_2,Vivienda
-84.0927876,9.9316692,2024_2,Vivienda
-84.1280663,9.895043,2024_2,Vivienda
-84.1113177,9.9850063,2024_2,Vivienda
-84.0386633,9.9145505,2024_2,Vivienda
-84.4238316,9.9936107,2024_2,Vivienda
-84.23004,9.9256373,2024_2,Vivienda
-84.1421945,10.0027113,2024_2,Vivienda
-84.2380877,10.0089051,2024_2,Vivienda
-84.33053939999999,9.518638100000002,2024_2,Vivienda
-84.0557369,9.9330574,2024_2,Vivienda
-84.2744027,10.356162,2024_2,Vivienda
-83.9234756,9.8715811,2024_2,Vivienda
-85.588864,9.9016102,2024_2,Vivienda
-83.91619349999999,9.8638091,2024_2,Vivienda
-84.0933652,9.8641706,2024_2,Vivienda
-83.9199708,9.8771751,2024_2,Vivienda
-84.0378483,9.7927483,2024_2,Vivienda
-83.9453168,9.8615532,2024_2,Vivienda
-84.04713890000001,9.9425975,2024_2,Vivienda
-84.066667,10.033333,2024_2,Vivienda
-84.05254339999999,9.9262487,2024_2,Vivienda
